Id,avg_daily_mets
1503960366,16.88
1624580081,12.13
1644430081,14.55
1844505072,11.52
1927972279,11.88
2022484408,17.24
2026352035,13.62
2320127002,12.13
2347167796,15.72
2873212765,15.25
2891001357,11.67
3372868164,14.4
3977333714,14.13
4020332650,12.9
4057192912,11.07
4319703577,14.33
4388161847,16.34
4445114986,13.4
4558609924,14.39
4702921684,14.81
5553957443,14.09
5577150313,18.81
6117666160,14.97
6290855005,13.14
6391747486,10.2
6775888955,13.25
6962181067,16.33
7007744171,16.93
7086361926,15.13
8053475328,17.08
8253242879,11.48
8378563200,15.85
8583815059,12.32
8792009665,11.76
8877689391,19.78
