Id,avg_sleep
1503960366,360.28
1644430081,294
1844505072,652
1927972279,417
2026352035,506.17857142857144
2320127002,61
2347167796,446.8
3977333714,293.64285714285717
4020332650,349.375
4319703577,476.65384615384613
4388161847,403.125
4445114986,385.17857142857144
4558609924,127.6
4702921684,421.14285714285717
5553957443,463.48387096774195
5577150313,432
6117666160,478.77777777777777
6775888955,349.6666666666667
6962181067,448
7007744171,68.5
7086361926,453.125
8053475328,297
8378563200,443.34375
8792009665,435.6666666666667
